CustomerID;Nationalite;Prenoms;Noms;Titre;Genre;Date_de_naissance;Email;Telephone;Addresse;Ville;CodePostal;Departement;CodeDept;CodePays;Pays;IndicatifPays;CarteType;NumeroCarte;ExpirationCarte;Employeur;Poste;NationalID
1192;Hungarian;Kartal;Szarka;Mr.;male;6/15/1993;SzarkaKartal@armyspy.com;21-69-66-49;Skovvej 40;København V;1753;Region Sjælland;SJ;DK;Denmark;45;Visa;4916972610573270;01/07/2028;Gamma Realty;Gastroenterologist;150693-4199
1193;American;Eugene;Newcomb;Mr.;male;1/17/1950;EugeneTNewcomb@superrito.com;25-12-97-41;Øksendrupvej 99;København K;1319;Region Sjælland;SJ;DK;Denmark;45;MasterCard;5312430918487180;01/12/2027;Solution Answers;Industrial engineering technician;170150-4417
1194;Persian;???;????;Ms.;female;10/28/1998;ResaTeqwa@armyspy.com;81 33 53;Postbox 94;Maniitsoq;3912;Qeqqata;QE;GL;Greenland;299;Visa;4556941190751280;01/02/2028;Childrens Bargain Town;Support specialist;
1195;Japanese;??;??;Ms.;female;02/11/1960;Labitchisiol@cuvox.de;(029) 8974-351;122 Erewhon Terrace;Heathcote Valley;8022;Christchurch;;NZ;New Zealand;64;MasterCard;5552517761993230;01/06/2025;Family Toy;Film processing technician;
1196;Icelandic;Heiðrún;Sigurðardóttir;Mrs.;female;11/29/1982;HeidrunSigurdardottir@fleckens.hu;7 072 393 163;45 Henley Road;BOWBURN;DH6 1FP;;;GB;United Kingdom;44;Visa;4556804367207710;01/04/2025;Hanover Shoe;Nurse specialist;ZY 24 62 61 A
1197;Ninja;Zumokatotoka;;Mrs.;female;10/24/1970;Zumokatotoka@teleworm.us;699 562 342;Celso Emilio Ferreiro 19;Boquiñeni;50641;Zaragoza;Z;ES;Spain;34;MasterCard;5476552688964350;01/07/2026;Builders Emporium;Highway maintenance worker;
1198;Japanese;??;??;Mrs.;female;09/01/1967;Asciage@jourrapide.com;94 293 196;Tacuarembo 7685;Algorta;60002;Paysandú;PA;UY;Uruguay;598;Visa;4929908675021420;01/06/2026;Crafts Canada;Image consultant;
1199;Brazil;Larissa;Barbosa;Ms.;female;4/17/1999;LarissaPintoBarbosa@superrito.com;7 766 190 748;39 Whitby Road;DENHEAD;AB42 5UT;;;GB;United Kingdom;44;MasterCard;5177988894388560;01/04/2029;Perisolution;Mail carrier;MA 58 73 72 A
1200;Ninja;Meikitatakikarin;;Mr.;male;11/16/1997;Meikitatakikarin@einrot.com;0487 95 66 83;Schoolstraat 117;Walcourt;5650;Namur;WNA;BE;Belgium;32;Visa;4532693155559960;01/06/2028;Parts and Pieces;Public safety dispatcher;
1201;Italian;Rosario;Pugliesi;Mr.;male;03/12/1991;RosarioPugliesi@superrito.com;445 69 033;Ila allé 161;FREDRIKSTAD;1605;;;NO;Norway;47;Visa;4485845855946460;01/08/2029;JumboSports;Civil engineering technician;
1202;Czech;Filip;Bartoš;Mr.;male;04/07/1963;FilipBartos@rhyta.com;0491 40 49 13;Lange Elzenstraat 80;Brussel;1210;Walloon Brabant;WBR;BE;Belgium;32;Visa;4929033060877970;01/07/2027;Adaptabiz;Medical translator;
1203;Swedish;August;Martinsson;Mr.;male;11/06/1950;AugustMartinsson@gustr.com;85 93 32;Aqqusinersuaq 293;Sisimiut;3911;Qeqqata;QE;GL;Greenland;299;Visa;4485739254014230;01/03/2027;Complete Tech;Content editor;
1204;Slovenian;Vekoslava;Laubi?;Ms.;female;7/17/1964;VekoslavaLaubic@armyspy.com;22 464 907;???? ???????? 233;??????;2410;????????;NI;CY;Cyprus (Greek);357;MasterCard;5491332837657160;01/08/2026;Loblaws;Tire repairer;
1205;Russian (Cyrillic);?????????;???????;Mr.;male;08/08/1969;Wellegly@cuvox.de;32 70 71;P.O. Box 24;Danmarkshavn;3984;Northeast Greenland National Park;NGNP;GL;Greenland;299;MasterCard;5110759498704710;01/10/2025;Chandler's;Marine equipment mechanic;
1206;Russian (Cyrillic);??????;??????;Mr.;male;10/18/2000;Cons2000@superrito.com;79 683 10 21;Al. Wi?niowa 12;Wroc?aw;53-126;;;PL;Poland;48;Visa;4929617087864590;01/09/2026;Fretter;Airbrush artist;00301831271
1207;Ninja;Mirikashitakuari;;Mr.;male;11/08/1948;Mirikashitakuari@einrot.com;070-908-601;Dunajska 41;Sovodenj;4225;;;SI;Slovenia;386;Visa;4716524605393180;01/03/2029;Practi-Plan;Tool filer;
1208;Australian;Hudson;Hagen;Mr.;male;09/12/1955;HudsonHagen@dayrep.com;030 99 15 95;Waßmannsdorfer Chaussee 5;Berlin Wittenau;13509;Berlin;BE;DE;Germany;49;Visa;4539136734194630;01/01/2027;Olson Electronics;Small engine service technician;
1209;Japanese;??;??;Ms.;female;6/14/1940;Buind1940@superrito.com;416 101 615;Rörgrunsvägen 4;VAASA;65380;Ostrobothnia;OS;FI;Finland;358;Visa;4556679007874660;01/12/2026;Buckeye Furniture;Hospital attendant;140640-574P
1210;Chechen (Latin);Marisa;Umkhayev;Mrs.;female;05/05/2001;MarisaUmkhayev@cuvox.de;(08) 8795 2598;83 Moores Drive;COPLEY;5732;South Australia;SA;AU;Australia;61;Visa;4716003446417060;01/09/2025;Griff's Hamburgers;Encoding clerk;
1211;Danish;Tobias;Christiansen;Mr.;male;6/16/1945;TobiasLChristiansen@jourrapide.com;446 098 765;Tuulimyllyntie 96;HIRVENSALMI;52550;Southern Savonia;SV;FI;Finland;358;MasterCard;5478995933322660;01/11/2028;John Plain;Administrative specialist;160645-057L
1212;Australian;Aidan;Burke;Mr.;male;6/17/1946;AidanBurke@einrot.com;04.39.18.89.61;24 rue de la Hulotais;SAINT-RAPHAËL;83700;Provence-Alpes-Côte d'Azur;PA;FR;France;33;MasterCard;5431777117986620;01/04/2027;Rivera Property Maintenance;Computer systems analyst;1460675434498 97
1213;Eritrean;Yusef;Haylom;Mr.;male;12/09/1965;YusefHaylom@dayrep.com;(19) 4819-3843;Rua Narciso Brazaroto 855;Santa Bárbara D'Oeste;13458-623;São Paulo;SP;BR;Brazil;55;Visa;4556804338368780;01/12/2027;Warshal's;Administrative lead;813.644.583-49
1214;Norwegian;Maria;Ali;Ms.;female;3/28/1951;MariaAli@rhyta.com;613-220-2955;4642 Thurston Dr;Ottawa;K1G 0Z2;Ontario;ON;CA;Canada;1;Visa;4539099659605490;01/05/2025;Endicott Shoes;Radar controller;155 587 884
1215;Japanese;??;??;Ms.;female;07/01/1946;Royes1946@teleworm.us;044-6302756;Nästvattnet 68;EVERÖD;297 47;;;SE;Sweden;46;MasterCard;5367833515998560;01/06/2028;Corpbay;Science technician;460701-3960
1216;Finnish;Tuulikki;Vasala;Mrs.;female;04/07/2004;TuulikkiVasala@fleckens.hu;76 726 521;69 Rue Camille des Moulins;Cite De La Gare;2110;Governorate Gafsa;71;TN;Tunisia;216;MasterCard;5439314744550470;01/11/2026;Laughner's Cafeteria;Employee relations manager;
1217;Igbo;Chiagoziem;Ogbonnaya;Mrs.;female;08/11/1968;ChiagoziemOgbonnaya@armyspy.com;212 439 940 157;Avenida Madre Andaluz 34;Cartaxo;2070-092;Santarém;SA;PT;Portugal;351;Visa;4916653359831280;01/08/2028;Eagle Food Centers;Marketing manager;
1218;Finnish;Johanna;Yli-Hannuksela;Mrs.;female;3/21/1957;JohannaYli-Hannuksela@cuvox.de;052 746 44 89;Gerbiweg 141;Buchackern;8586;;;CH;Switzerland;41;Visa;4485104282973790;01/03/2029;Realty Zone;Metalworking machine operator;
1219;Japanese;?;??;Mr.;male;3/13/1997;Thapide@armyspy.com;613-577-3342;4251 Pitt St;Cornwall;K6J 3R2;Ontario;ON;CA;Canada;1;MasterCard;5241430225443260;01/01/2026;Edge Garden Services;Telemarketer;230 117 889
1220;Slovenian;Rozalija Ana;Šuler;Ms.;female;11/12/1938;RozalijaAnaSuler@cuvox.de;0523-8594879;Hagaskog 37;ÅBY;616 00;;;SE;Sweden;46;MasterCard;5327388771331790;01/09/2026;Wetson's;Payroll clerk;381112-0686
1221;Scottish;Callan;McMillan;Mr.;male;12/23/1955;CallanMcMillan@fleckens.hu;040-864-741;Trg revolucije 63;Ajdovš?ina;5270;;;SI;Slovenia;386;MasterCard;5561914758362160;01/03/2026;Steak and Ale;Line repairer;
1222;Ninja;Shimozukushichi;;Mr.;male;06/11/1948;Shimozukushichi@fleckens.hu;88 287 83 47;ul. Skalskiego Stanis?awa 146;D?browa Górnicza;41-300;;;PL;Poland;48;Visa;4485415383206580;01/12/2029;Yesterday's Records;Stock trader;48061119310
1223;Danish;Rosa;Lund;Mrs.;female;11/20/1966;RosaTLund@einrot.com;212 171 255 379;Rua Ciprestes 120;Tires;2785-144;Lisboa;LI;PT;Portugal;351;MasterCard;5199534186046940;01/07/2028;Micro Design;Woodworking machine operator;
1224;Chinese;Bo;Liu;Ms.;female;03/04/1994;BoLiu@gustr.com;742 039 236;Puerta Nueva 82;Dozón;36518;Pontevedra;PO;ES;Spain;34;Visa;4532210908585350;01/05/2028;Matrix Architectural Service;Marketing research analyst;
1225;England/Wales;Joseph;Watkins;Mr.;male;6/21/1939;JosephWatkins@jourrapide.com;623-691-8576;440 Cambridge Drive;Phoenix;85033;Arizona;AZ;US;United States;1;MasterCard;5319242932444960;01/07/2026;Jacobs;Horse trainer;526-58-5959
1226;England/Wales;Callum;Fisher;Mr.;male;05/12/1992;CallumFisher@einrot.com;87 17 63;Postbox 94;Kangaatsiaq;3955;Qaasuitsup;QA;GL;Greenland;299;Visa;4485216028015160;01/03/2026;Warehouse Club, Inc.;Network and computer systems administrator;
1227;Hispanic;Alexandre;Alejandro;Mr.;male;05/08/1974;AlexandreAlejandroBorrego@gustr.com;87 50 20;Postbox 200;Kangaatsiaq;3955;Qaasuitsup;QA;GL;Greenland;299;MasterCard;5562840975688890;01/12/2028;Channel Home Centers;Multiple machine tool operator;
1228;Japanese (Anglicized);Sachina;Minami;Ms.;female;5/26/1950;SachinaMinami@teleworm.us;418-484-0659;3547 St Jean Baptiste St;St Ephrem De Beauce;G0M 1R0;Quebec;QC;CA;Canada;1;MasterCard;5139393678212190;01/09/2028;Adapt;Network architect;174 526 541
1229;Hispanic;Arandu;Guevara;Mrs.;female;03/09/1960;AranduGuevaraGil@gustr.com;661 138 555;Socampo 65;Villanueva del Conde;37658;Salamanca;SA;ES;Spain;34;Visa;4716932056443220;01/08/2027;Strategy Planner;Industrial equipment technician;
1230;Chechen (Latin);Ali;Melikov;Mr.;male;12/28/1953;AliMelikov@gustr.com;24 333 381;212 Theotokopoulou Str.;Larnaka;6301;Larnaca;LA;CY;Cyprus (Anglicized);357;MasterCard;5551552787540340;01/07/2026;Roadhouse Grill;Archivist;
1231;Russian (Cyrillic);?????;????????;Ms.;female;8/30/1978;Sagessay@fleckens.hu;6 188 867;Timuti 31;Tallinn;15055;Harjumaa;HA;EE;Estonia;372;Visa;4716291470622240;01/05/2029;The Royal Canadian Pancake Houses;Decommissioning and decontamination (D&D) worker;
1232;Croatian;Lavoslav;Blaževi?;Mr.;male;10/05/1962;LavoslavBlazevic@cuvox.de;(95) 5824-8609;Rua L-36 1340;Boa Vista;69307-060;Roraima;RR;BR;Brazil;55;MasterCard;5335418218556270;01/07/2026;Liberty Wealth Planners;Instructional designer;695.446.122-97
1233;England/Wales;Zak;Dobson;Mr.;male;04/10/1943;ZakDobson@dayrep.com;425 44 802;Rossaveien 86;MANDAL;4513;;;NO;Norway;47;MasterCard;5417902373505940;01/08/2027;Realty Depot;Recreation worker;
1234;Hobbit;Meneaduc;Labingi;Mr.;male;09/02/1996;MeneaducLabingi@armyspy.com;(21) 2653-4580;Rua Carlota 622;Nova Iguaçu;26053-350;Rio de Janeiro;RJ;BR;Brazil;55;Visa;4916575110029040;01/10/2029;First Choice Garden Maintenance;Consultant dietitian;712.323.913-01
1235;Hobbit;Prima;Rumble;Ms.;female;8/17/1980;PrimaRumble@jourrapide.com;613-967-4036;10 Wallbridge Loyalist Rd;Belleville;K8N 1L9;Ontario;ON;CA;Canada;1;MasterCard;5310875188022670;01/04/2028;Rolling Thunder;Job placement specialist;675 590 525
1236;Croatian;Laura;Živkovi?;Mrs.;female;08/03/1942;LauraZivkovic@cuvox.de;3 456 606 817;Piazzetta Scalette Rubiani 54;Salerno;84124;Salerno;SA;IT;Italy;39;MasterCard;5447424659818080;01/10/2028;Bresler's Ice Cream;Roofer;YB65409270
1237;England/Wales;Nathan;Walsh;Mr.;male;12/21/1999;NathanWalsh@superrito.com;(07) 5325 8825;87 Spencer Street;EURONG;4581;Queensland;QLD;AU;Australia;61;Visa;4485612359388950;01/04/2026;De Pinna;Surgical technologist;
1238;Vietnamese;B??i;Hàn;Mrs.;female;5/23/1985;HanThiLienBuoi@jourrapide.com;06572 83 61 57;Luetzowplatz 17;Laufeld;54533;Rheinland-Pfalz;RP;DE;Germany;49;MasterCard;5492818388941050;01/11/2027;Jay Jacobs;Forensic technician;
1239;Chechen (Latin);Badruddin;Dratchev;Mr.;male;3/20/1949;BadruddinDratchev@jourrapide.com;778 056 580;Sokolská 1573;Sadská;289 12;Stredoceský kraj;ST;CZ;Czech Republic;420;MasterCard;5583028916115050;01/08/2025;Morville;Job printer;
1240;Czech;Kate?ina;Bulvová;Ms.;female;10/14/1953;KaterinaBulvova@dayrep.com;070-840-491;Dalmatinova 98;Zabukovje;8292;;;SI;Slovenia;386;MasterCard;5206773090946220;01/07/2028;Asian Junction;Principal secretary;
1241;American;Mary;Johnson;Ms.;female;1/20/1970;MaryTJohnson@rhyta.com;052 785 37 26;Langwiesstrasse 59;Wermatswil;8615;;;CH;Switzerland;41;MasterCard;5123311615918840;01/02/2029;County Market;Attendance clerk;
1242;Scottish;Shaun;Campbell;Mr.;male;05/10/1992;ShaunCampbell@einrot.com;99 445 634;Hocquart 9586;Paraje San Juan;90601;Canelones;CA;UY;Uruguay;598;Visa;4539493951432430;01/09/2025;Dave Cooks;Harbor pilot;
1243;American;Kate;Bryant;Ms.;female;10/07/1994;KateSBryant@cuvox.de;78 614 038;130 Av. Habib bourguiba;Cite El Azima 3;9070;Governorate Beja;31;TN;Tunisia;216;MasterCard;5256288814663100;01/09/2029;Big Wheel;Loan interviewer;
1244;Arabic;Shimah;Mustafa;Dr.;female;08/06/1962;ShimahAhdMustafa@teleworm.us;7 886 355 678;44 Malcolm Rd;LLANFYLLIN;SY22 2GE;;;GB;United Kingdom;44;Visa;4929402138124420;01/09/2028;Childs Restaurants;Map editor;CX 91 59 58 A
1245;Igbo;Muomelu;Nkemdilim;Mr.;male;7/31/1947;MuomeluNkemdilim@cuvox.de;783 831 402;Escuadro 36;Castelló de Rugat;46841;Valencia;V;ES;Spain;34;MasterCard;5190334455938390;01/06/2025;First Choice Garden Maintenance;Encoder;
1246;Japanese (Anglicized);Akimi;Kamihara;Ms.;female;1/17/1962;AkimiKamihara@teleworm.us;51 464 74 74;Al. Witosa Wincentego 108;Opole;45-401;;;PL;Poland;48;Visa;4556281949199880;01/10/2029;Handy City;Inhalation therapist;62011798002
1247;Norwegian;Even;Johansen;Mr.;male;5/16/1943;EvenJohansen@cuvox.de;(71) 5691-3455;Travessa Oriental 1058;Salvador;40325-650;Bahia;BA;BR;Brazil;55;MasterCard;5475644458997610;01/03/2026;Midwest TV & Appliance;Title abstractor;298.070.525-05
1248;Klingon;J'Rena;Karum;Ms.;female;12/04/1999;JRenaKarum@armyspy.com;95 859 640;209 Venizelou Street;Stathmos Pefkou;4568;Limassol;LI;CY;Cyprus (Anglicized);357;Visa;4539095679938950;01/03/2028;Pointers;Shipping clerk;
1249;Hispanic;Menelao;Cantú;Mr.;male;08/12/1982;MenelaoCantuCarrion@rhyta.com;051-268-058;Kolodvorska 41;Ljubljana;1537;;;SI;Slovenia;386;MasterCard;5373212643861690;01/04/2028;Virgin Megastores;Extruding and drawing machine operators;
1250;Icelandic;Dagrún;Bernódusdóttir;Ms.;female;10/14/1956;DagrunBernodusdottir@gustr.com;02.26.67.85.92;7 rue Victor Hugo;CONCARNEAU;29900;Bretagne;BR;FR;France;33;Visa;4532738805851630;01/11/2027;Prahject Planner;Urban planner;2561014295115 01
1251;Slovenian;Hadžib;Jehart;Mr.;male;04/08/1967;HadzibJehart@armyspy.com;0585-2614824;Sandviken 70;DYLTABRUK;710 27;;;SE;Sweden;46;MasterCard;5436526768817440;01/03/2026;Beatties;Landscaping worker;670408-4315
1252;Japanese;?;??;Mr.;male;12/24/1979;Happeat1979@jourrapide.com;30-25-51-69;Svendborg Landevej 61;København K;1304;Region Sjælland;SJ;DK;Denmark;45;Visa;4916962637087240;01/06/2026;Creative Wealth;Mason;241279-1501
1253;Swedish;Nor;Berggren;Mrs.;female;5/14/1997;NorBerggren@jourrapide.com;0476 53 17 34;Perksesteenweg 63;Moresnet;4850;Liège;WLG;BE;Belgium;32;MasterCard;5403930681780030;01/03/2027;Twin Food Stores;Industrial hygienist;
1254;Polish;Dita;Rutkowska;Mrs.;female;10/22/1999;DitaRutkowska@rhyta.com;0303-9555090;Tuvvägen 58;KODE;442 78;;;SE;Sweden;46;Visa;4556239520685920;01/11/2027;Builders Square;Press agent;991022-8122
1255;Australian;Logan;Tickell;Mr.;male;8/26/1941;LoganTickell@dayrep.com;(81) 4088-8922;Rua Mário Leon 348;Jaboatão dos Guararapes;54080-362;Pernambuco;PE;BR;Brazil;55;MasterCard;5123892632084950;01/02/2029;Belle Lady;Parking lot attendant;801.275.384-70
1256;Persian;?????;?????;Mr.;male;08/03/1945;Bheradelaaa@cuvox.de;26 625 128;???? ????? 268;??????;8742;?????;PA;CY;Cyprus (Greek);357;Visa;4916833620770670;01/10/2026;Wherehouse Music;Cinematographer;
1257;Eritrean;Osman;Selam;Mr.;male;8/15/1972;OsmanSelam@superrito.com;944 52 223;Kampheimveien 130;OSLO;0685;;;NO;Norway;47;Visa;4716858743016860;01/01/2027;Friendly Interior Design;Loan closer;
1258;Russian (Cyrillic);????????;???????;Mr.;male;07/08/1967;Eaced1967@cuvox.de;0498 93 71 81;Lodewijk De Raetlaan 148;Clabecq;1480;Walloon Brabant;WBR;BE;Belgium;32;Visa;4556926663369370;01/10/2027;Total Yard Maintenance;Motorcycle mechanic;
1259;Slovenian;Jozo;Sadi?;Mr.;male;10/13/1980;JozoSadic@dayrep.com;410 06 662;Lundeleitet 2;SANDNES;4323;;;NO;Norway;47;MasterCard;5326643017587380;01/05/2027;Square Circle;Workforce development officer;
1260;Russian;Bulat;Denisov;Mr.;male;7/14/1953;BulatDenisov@superrito.com;72 362 158;63 Avenue El Ghofrane;Jougar;1140;Governorate Zaghouan;22;TN;Tunisia;216;Visa;4929344961681470;01/07/2028;Cougar Investment;Wealth manager;
1261;Dutch;Lot;Sluijs;Mrs.;female;11/26/1961;LotSluijs@rhyta.com;562-277-7191;6 Reynolds Alley;Los Angeles;90017;California;CA;US;United States;1;Visa;4716148835609960;01/08/2026;Newhair;Bus mechanic;553-59-6852
1262;Italian;Boris;Castiglione;Mr.;male;06/04/1979;BorisCastiglione@jourrapide.com;(18) 8898-7762;Rua Francisco Braga 364;Araçatuba;16015-560;São Paulo;SP;BR;Brazil;55;Visa;4916513070699720;01/05/2025;Britling Cafeterias;Staffing specialist;976.865.903-30
1263;Finnish;Jonne;Lumme;Mr.;male;02/09/1988;JonneLumme@superrito.com;06-17193649;Kruisbeeklaan 184;Velsen-Noord;1951 KG;Noord-Holland;NH;NL;Netherlands;31;MasterCard;5551617644572440;01/03/2026;Present Company;Plant operator;
1264;Scottish;Curtis;Williamson;Mr.;male;6/16/1988;CurtisWilliamson@einrot.com;(07) 3578 1180;14 Kintyre Street;COORPAROO;4151;Queensland;QLD;AU;Australia;61;MasterCard;5142604345518270;01/09/2026;AdventureSports!;Employment manager;
1265;Ninja;Zukaarimoto;;Mr.;male;1/25/1988;Zukaarimoto@einrot.com;681 877 260;Avendaño 41;Sorbas;04270;Almería;AL;ES;Spain;34;Visa;4929674590539390;01/03/2026;Bonanza Produce Stores;Cooling and freezing equipment tender;
1266;Australian;Jordan;Minifie;Mr.;male;8/17/1955;JordanMinifie@gustr.com;72 700 904;70 Rue Al Imam Al Bakri;Barraket Essahel;8056;Governorate Nabeul;21;TN;Tunisia;216;Visa;4556394565421550;01/08/2027;Incredible Universe;Enlisted personnel;
1267;Igbo;Ekwueme;Ndubueze;Mr.;male;8/28/1947;EkwuemeNdubueze@dayrep.com;06-60611969;Oude Haagweg 171;Den Haag;2552 EZ;Zuid-Holland;ZH;NL;Netherlands;31;Visa;4532531655245630;01/10/2028;Giant Open Air;School social worker;
1268;Ninja;Zumoritotofu;;Mr.;male;8/28/1950;Zumoritotofu@fleckens.hu;(54) 872-630;Tompa u. 43.;Szerep;4163;Hajdú-Bihar;HB;HU;Hungary;36;Visa;4716675961404240;01/02/2028;Clemens Markets;Scientific photographer;
1269;Klingon;Mara;Kharsack;Mrs.;female;11/28/1941;MaraKharsack@armyspy.com;34 46 11;Postbox 297;Kangilinnguit;3930;Sermersooq;SM;GL;Greenland;299;MasterCard;5305978064102090;01/11/2028;Asian Solutions;Immigration inspector;
1270;Slovenian;Arta;Deniša;Ms.;female;11/18/1944;ArtaDenisa@armyspy.com;4 319 736;Kuuse 23;Arjadi;71505;Viljandimaa;VD;EE;Estonia;372;MasterCard;5536056625251400;01/05/2029;Shabby Chic;Residential advisor;
1271;Norwegian;Olivia;Haugen;Ms.;female;11/23/1957;OliviaHaugen@rhyta.com;416-657-5141;1345 Rogers Road;Toronto;M6E 1R1;Ontario;ON;CA;Canada;1;MasterCard;5118973034573570;01/04/2026;Coffey's Market;Organizational economist;358 738 854
1272;Icelandic;Þór;Sigjónsson;Mr.;male;04/01/1950;THorSigjonsson@rhyta.com;0664 408 49 57;Neutorstrasse 16;TRATZBERG;6200;Tyrol;TR;AT;Austria;43;MasterCard;5490681605870970;01/08/2027;Big Wheel;Mechanical drafter;
1273;French;Ganelon;Rouze;Mr.;male;5/22/1978;GanelonRouze@fleckens.hu;4 324 781;Akurgerði 54;Ísafjörður;400;;;IS;Iceland;354;Visa;4485698457807040;01/10/2029;Weathervane;Wildlife officer;
1274;Danish;Stine;Villadsen;Mrs.;female;9/22/1943;StineKVilladsen@gustr.com;448 707 374;Honkajärventie 43;FORSSA;30100;Tavastia Proper;TP;FI;Finland;358;MasterCard;5105666253069410;01/12/2029;Spaceage Stereo;Construction mechanic;220943-8521
1275;Hispanic;Dugan;Ballesteros;Mr.;male;10/06/1968;DuganBallesterosSolano@rhyta.com;091 911 33 28;Lungolago 33;Taverne;6807;;;CH;Switzerland;41;MasterCard;5553031210554770;01/07/2026;Great Western;Construction equipment operator;
1276;Hispanic;Vicki;Sevilla;Dr.;female;7/20/1958;VickiSevillaNieto@rhyta.com;052 259 15 16;Langwiesstrasse 31;Wermatswil;8615;;;CH;Switzerland;41;Visa;4929727703244880;01/10/2025;Argus Tapes & Records;Construction inspector;
1277;Thai;???????;?????????;Mr.;male;12/27/1996;;0302-3952317;Hagag 89;STENKULLEN;443 91;;;SE;Sweden;46;MasterCard;5155215181012440;01/11/2029;Buttrey Food & Drug;Cementing and gluing machine tender;961227-8938
1278;Chechen (Latin);Asu;Bisliev;Mr.;male;01/03/1940;AsuBisliev@fleckens.hu;99 964 151;36 Pireos Street;Kornokipos;5657;Famagusta;FA;CY;Cyprus (Anglicized);357;MasterCard;5571107975172390;01/08/2026;Britling Cafeterias;Geological technician;
1279;Hispanic;Aleydis;Abeyta;Mr.;male;12/08/1958;AleydisAbeytaNajera@teleworm.us;01.33.95.57.26;22 rue Nationale;PARIS;75006;Île-de-France;IL;FR;France;33;Visa;4532486918358030;01/04/2028;Frame Scene;Log sorter;1581214765512 38
1280;French;Chapin;Plouffe;Mr.;male;3/28/1996;ChapinPlouffe@dayrep.com;95 227 652;286 Attica Avenue;Agios Georgios Pegeias;8570;Paphos;PA;CY;Cyprus (Anglicized);357;Visa;4532473435888160;01/01/2025;Orion;Printmaker;
1281;Hispanic;Argus;Esquivel;Mr.;male;12/09/1982;ArgusEsquivelApodaca@fleckens.hu;0498 42 03 97;Lodorp 12;Maldegem;9990;East Flanders;VOV;BE;Belgium;32;Visa;4916959192132600;01/04/2026;Sunny's Surplus;Claims investigator;
1282;Croatian;Nikolina;Gali?;Mrs.;female;1/30/1951;NikolinaGalic@armyspy.com;212 397 353 121;Travessa Parque 20;Lousã;3200-158;Coimbra;CO;PT;Portugal;351;MasterCard;5469386448372450;01/04/2029;Future Bright;Tree trimmer;
1283;Ninja;Takiarika;;Ms.;female;4/30/1970;Takiarika@cuvox.de;956-215-4782;4441 Jerome Avenue;Mcallen;78501;Texas;TX;US;United States;1;Visa;4532915162512820;01/04/2028;Federated Group;Skin care specialist;452-16-8712
1284;Dutch;Aletta;Heesterbeek;Mrs.;female;9/13/1964;AlettaHeesterbeek@gustr.com;96 948 907;??? ?????? ??????? 278;???????;6050;???????;LA;CY;Cyprus (Greek);357;MasterCard;5569411016300410;01/10/2028;Corpbay;Etcher;
1285;Vietnamese;Sang;Nghiêm;Mrs.;female;10/25/1991;NghiemThiTrucSang@teleworm.us;(022) 9624-473;6 Donnington Place;Otumoetai;3110;Tauranga;;NZ;New Zealand;64;MasterCard;5147722657024350;01/07/2026;P. Samuels Men's Clothiers;Tree pruner;
1286;Swedish;Algot;Andreasson;Mr.;male;3/15/1982;AlgotAndreasson@jourrapide.com;02.59.66.46.91;73 rue Michel Ange;LE HAVRE;76620;Haute-Normandie;HN;FR;France;33;Visa;4716787531352710;01/02/2025;Cut Rite;Electronic transcriber;1820360626220 95
1287;Czech;Miroslav;Hrubý;Mr.;male;7/31/1991;MiroslavHruby@teleworm.us;4 624 851;Strandgata 22;Eskifjörður;735;;;IS;Iceland;354;MasterCard;5560759156254060;01/06/2026;Target Realty;Dredge, excavating, and loading machine operator;
1288;Norwegian;Aleksander;Haga;Mr.;male;11/23/1999;AleksanderHaga@fleckens.hu;01.89.25.11.67;11 cours Jean Jaures;BOULOGNE-BILLANCOURT;92100;Île-de-France;IL;FR;France;33;Visa;4532670441956360;01/02/2026;Cavages;Business management consultant;1991138548555 49
1289;Russian (Cyrillic);????????;???????;Mr.;male;5/29/1992;Texpeady@fleckens.hu;06-88599477;Boulevard Heuvelink 101;Arnhem;6828 KJ;Gelderland;GE;NL;Netherlands;31;Visa;4539337363313770;01/05/2029;Electronics Source;Excavating and loading machine and dragline operator;
1290;England/Wales;Logan;Hilton;Mr.;male;5/13/1964;LoganHilton@gustr.com;508-524-2157;3285 Ferguson Street;Bolton;01740;Massachusetts;MA;US;United States;1;Visa;4929884863123700;01/09/2029;Crafts & More;Travel guide;016-16-0989
1291;Czech;Ji?í;Kou?il;Mr.;male;5/21/1988;JiriKouril@cuvox.de;7 707 324 662;26 Davids Lane;SULHAM;RG8 8RN;;;GB;United Kingdom;44;MasterCard;5390988586276240;01/08/2029;House Works;Sawing machine operator;CH 17 87 44 A
1292;Klingon;Huraga;Revulac;Ms.;female;9/29/1958;HuragaRevulac@jourrapide.com;437 03 522;Hjortåsen 114;STORD;5412;;;NO;Norway;47;Visa;4556543466924830;01/04/2029;Museum Company;Multiple machine tool operator;
1293;Icelandic;Valdís;Kristbjörnsdóttir;Ms.;female;2/16/1983;ValdisKristbjornsdottir@fleckens.hu;4 146 525;Ennisbraut 78;Reykjahlíð;660;;;IS;Iceland;354;MasterCard;5532795515068620;01/05/2025;Matrix Architectural Service ;Voice writer;
1294;Croatian;Tihomila;Bošnjak;Ms.;female;10/09/1963;TihomilaBosnjak@armyspy.com;040-054-615;Parmova 7;Mav?i?e;4211;;;SI;Slovenia;386;Visa;4916976704112450;01/06/2029;Formula Grey;Taper;
